CONSTRUCTORID,CONSTRUCTORREF,NAME,NATIONALITY,URL
178,cooper-alfa_romeo,Cooper-Alfa Romeo,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
177,lotus-borgward,Lotus-Borgward,British,http://en.wikipedia.org/wiki/Team_Lotus
176,lotus-brm,Lotus-BRM,British,http://en.wikipedia.org/wiki/Team_Lotus
175,de_tomaso-alfa_romeo,De Tomaso-Alfa Romeo,Italian,http://en.wikipedia.org/wiki/De_Tomaso
174,de_tomaso-osca,De Tomaso-Osca,Italian,http://en.wikipedia.org/wiki/De_Tomaso
173,lotus-maserati,Lotus-Maserati,British,http://en.wikipedia.org/wiki/Team_Lotus
172,lotus-climax,Lotus-Climax,British,http://en.wikipedia.org/wiki/Team_Lotus
171,cooper-castellotti,Cooper-Castellotti,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
170,cooper-climax,Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
169,cooper-borgward,Cooper-Borgward,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
168,cooper-osca,Cooper-OSCA,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
166,virgin,Virgin,British,http://en.wikipedia.org/wiki/Virgin_Racing
167,cooper-maserati,Cooper-Maserati,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
164,hrt,HRT,Spanish,http://en.wikipedia.org/wiki/Hispania_Racing
163,milano,Milano,Italian,http://en.wikipedia.org/wiki/Scuderia_Milano
162,snowberger,Snowberger,American,http://en.wikipedia.org/wiki/Snowberger
161,adams,Adams,American,http://en.wikipedia.org/wiki/Adams_(constructor)
160,wetteroth,Wetteroth,American,http://en.wikipedia.org/wiki/Wetteroth
159,olson,Olson,American,http://en.wikipedia.org/wiki/Olson_(constructor)
158,rae,Rae,American,http://en.wikipedia.org/wiki/Rae_(motorsport)
157,langley,Langley,American,http://en.wikipedia.org/wiki/Langley_(constructor)
156,marchese,Marchese,American,http://en.wikipedia.org/wiki/Marchese_(constructor)
155,hall,Hall,American,http://en.wikipedia.org/wiki/Hall_(constructor)
154,lago,Talbot-Lago,French,http://en.wikipedia.org/wiki/Talbot-Lago
153,cisitalia,Cisitalia,Italian,http://en.wikipedia.org/wiki/Cisitalia
152,butterworth,Aston Butterworth,British,http://en.wikipedia.org/wiki/Aston_Butterworth
151,era,ERA,British,http://en.wikipedia.org/wiki/English_Racing_Automobiles
150,deidt,Deidt,American,http://en.wikipedia.org/wiki/Deidt
149,sherman,Sherman,American,http://en.wikipedia.org/wiki/Sherman_(constructor)
148,frazer_nash,Frazer Nash,British,http://en.wikipedia.org/wiki/Frazer_Nash
147,afm,AFM,German,http://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau
146,emw,EMW,East German,http://en.wikipedia.org/wiki/Eisenacher_Motorenwerk
145,bmw,BMW,German,http://en.wikipedia.org/wiki/BMW
144,veritas,Veritas,German,http://en.wikipedia.org/wiki/Veritas_(constructor)
143,del_roy,Del Roy,American,http://en.wikipedia.org/wiki/Del_Roy
142,turner,Turner,American,http://en.wikipedia.org/wiki/Turner_(constructor)
141,simca,Simca,French,http://en.wikipedia.org/wiki/Simca
140,klenk,Klenk,German,http://en.wikipedia.org/wiki/Klenk
139,bromme,Bromme,American,http://en.wikipedia.org/wiki/Bromme
138,nichels,Nichels,American,http://en.wikipedia.org/wiki/Nichels
137,arzani-volpini,Arzani-Volpini,Italian,http://en.wikipedia.org/wiki/Arzani-Volpini
136,pankratz,Pankratz,American,http://en.wikipedia.org/wiki/Pankratz
135,pawl,Pawl,American,http://en.wikipedia.org/wiki/Pawl_(constructor)
134,schroeder,Schroeder,American,http://en.wikipedia.org/wiki/Schroeder_(constructor)
133,hwm,HWM,British,http://en.wikipedia.org/wiki/Hersham_and_Walton_Motors
132,lancia,Lancia,Italian,http://en.wikipedia.org/wiki/Lancia_in_Formula_One
131,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
130,bugatti,Bugatti,French,http://en.wikipedia.org/wiki/Bugatti
129,stevens,Stevens,American,http://en.wikipedia.org/wiki/Stevens_(constructor)
128,gordini,Gordini,French,http://en.wikipedia.org/wiki/Gordini
127,osca,OSCA,Italian,http://en.wikipedia.org/wiki/Officine_Specializate_Costruzione_Automobili
126,alta,Alta,British,http://en.wikipedia.org/wiki/Alta_auto_racing_team
125,connaught,Connaught,British,http://en.wikipedia.org/wiki/Connaught_Engineering
124,tec-mec,Tec-Mec,Italian,http://en.wikipedia.org/wiki/Tec-Mec
123,fry,Fry,British,http://en.wikipedia.org/wiki/Fry_(racing_team)
122,sutton,Sutton,American,http://en.wikipedia.org/wiki/Sutton_(constructor)
121,elder,Elder,American,http://en.wikipedia.org/wiki/Elder_(constructor)
120,dunn,Dunn,American,http://en.wikipedia.org/wiki/Dunn_Engineering
119,moore,Moore,American,http://en.wikipedia.org/wiki/Moore_(constructor)
118,vanwall,Vanwall,British,http://en.wikipedia.org/wiki/Vanwall
117,aston_martin,Aston Martin,British,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One
116,ewing,Ewing,American,http://en.wikipedia.org/wiki/Ewing_(constructor)
115,vhristensen,Christensen,American,http://en.wikipedia.org/wiki/Christensen_(constructor)
114,kuzma,Kuzma,American,http://en.wikipedia.org/wiki/Kuzma_(constructor)
113,kurtis_kraft,Kurtis Kraft,American,http://en.wikipedia.org/wiki/Kurtis_Kraft
112,meskowski,Meskowski,American,http://en.wikipedia.org/wiki/Meskowski
111,trevis,Trevis,American,http://en.wikipedia.org/wiki/Trevis
110,lesovsky,Lesovsky,American,http://en.wikipedia.org/wiki/Lesovsky
109,phillips,Phillips,American,http://en.wikipedia.org/wiki/Phillips_(constructor)
108,epperly,Epperly,American,http://en.wikipedia.org/wiki/Epperly
107,watson,Watson,American,http://en.wikipedia.org/wiki/A.J._Watson
106,scarab,Scarab,American,http://en.wikipedia.org/wiki/Scarab_(constructor)
105,maserati,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati
104,behra-porsche,Behra-Porsche,Italian,http://en.wikipedia.org/wiki/Behra-Porsche
103,mbm,MBM,Swiss,http://en.wikipedia.org/wiki/Monteverdi_Basel_Motors
102,ferguson,Ferguson,British,http://en.wikipedia.org/wiki/Ferguson_Research_Ltd.
101,jbw,JBW,British,http://en.wikipedia.org/wiki/JBW
100,enb,ENB,Belgian,http://en.wikipedia.org/wiki/Ecurie_Nationale_Belge
99,emeryson,Emeryson,British,http://en.wikipedia.org/wiki/Emeryson
98,stebro,Stebro,Canadian,http://en.wikipedia.org/wiki/Stebro
97,gilby,Gilby,British,http://en.wikipedia.org/wiki/Gilby
96,derrington,Derrington,British,http://en.wikipedia.org/wiki/Derrington-Francis
95,porsche,Porsche,German,http://en.wikipedia.org/wiki/Porsche_in_Formula_One
94,brp,BRP,British,http://en.wikipedia.org/wiki/British_Racing_Partnership
93,re,RE,Rhodesian,http://en.wikipedia.org/wiki/RE_%28automobile%29
92,scirocco,Scirocco,British,http://en.wikipedia.org/wiki/Scirocco-Powell
91,shannon,Shannon,British,http://en.wikipedia.org/wiki/Shannon_(Formula_One)
90,protos,Protos,British,http://en.wikipedia.org/wiki/Protos_(constructor)
89,lds,LDS,South African,http://en.wikipedia.org/wiki/LDS_(automobile)
88,eagle,Eagle,American,http://en.wikipedia.org/wiki/Anglo_American_Racers
87,cooper,Cooper,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
86,tomaso,De Tomaso,Italian,http://en.wikipedia.org/wiki/De_Tomaso
85,bellasi,Bellasi,Swiss,http://en.wikipedia.org/wiki/Bellasi
84,connew,Connew,British,http://en.wikipedia.org/wiki/Connew
83,politoys,Politoys,British,http://en.wikipedia.org/wiki/Frank_Williams_Racing_Cars
82,matra,Matra,French,http://en.wikipedia.org/wiki/Matra
81,tecno,Tecno,Italian,http://en.wikipedia.org/wiki/Tecno
80,iso_marlboro,Iso Marlboro,British,http://en.wikipedia.org/wiki/Iso_Marlboro
79,token,Token,British,http://en.wikipedia.org/wiki/Token_(Racing_team)
78,amon,Amon,New Zealander,http://en.wikipedia.org/wiki/Amon_(Formula_One_team)
77,trojan,Trojan,British,http://en.wikipedia.org/wiki/Trojan_(Racing_team)
76,lyncar,Lyncar,British,http://en.wikipedia.org/wiki/Lyncar
75,hill,Embassy Hill,British,http://en.wikipedia.org/wiki/Hill_(constructor)
74,maki,Maki,Japanese,http://en.wikipedia.org/wiki/Maki_(cars)
73,parnelli,Parnelli,American,http://en.wikipedia.org/wiki/Parnelli
72,kojima,Kojima,Japanese,http://en.wikipedia.org/wiki/Kojima_Engineering
71,apollon,Apollon,Swiss,http://en.wikipedia.org/wiki/Apollon_(Formula_One)
70,boro,Boro,Dutch,http://en.wikipedia.org/wiki/Boro_(Formula_One)
69,mcguire,McGuire,Australian,http://en.wikipedia.org/wiki/McGuire_(Formula_One)
68,lec,LEC,British,http://en.wikipedia.org/wiki/LEC_(Formula_One)
67,penske,Penske,American,http://en.wikipedia.org/wiki/Penske_Racing
66,brm,BRM,British,http://en.wikipedia.org/wiki/BRM
65,martini,Martini,French,http://en.wikipedia.org/wiki/Martini_(cars)
64,hesketh,Hesketh,British,http://en.wikipedia.org/wiki/Hesketh_Racing
63,surtees,Surtees,British,http://en.wikipedia.org/wiki/Surtees
62,rebaque,Rebaque,Mexican,http://en.wikipedia.org/wiki/Rebaque
61,kauhsen,Kauhsen,German,http://en.wikipedia.org/wiki/Kauhsen
60,merzario,Merzario,Italian,http://en.wikipedia.org/wiki/Merzario
59,wolf,Wolf,Canadian,http://en.wikipedia.org/wiki/Walter_Wolf_Racing
58,shadow,Shadow,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars
57,ensign,Ensign,British,http://en.wikipedia.org/wiki/Ensign_%28racing_team%29
56,fittipaldi,Fittipaldi,Brazilian,http://en.wikipedia.org/wiki/Fittipaldi_%28constructor%29
55,theodore,Theodore,Hong Kong,http://en.wikipedia.org/wiki/Theodore_Racing
54,ats,ATS,Italian,http://en.wikipedia.org/wiki/ATS_(wheels)
53,toleman,Toleman,British,http://en.wikipedia.org/wiki/Toleman
52,spirit,Spirit,British,http://en.wikipedia.org/wiki/Spirit_(racing_team)
51,alfa,Alfa Romeo,Swiss,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One
50,ram,RAM,British,http://en.wikipedia.org/wiki/RAM_Racing
49,zakspeed,Zakspeed,German,http://en.wikipedia.org/wiki/Zakspeed
48,rial,Rial,German,http://en.wikipedia.org/wiki/Rial_%28racing_team%29
47,life,Life,Italian,http://en.wikipedia.org/wiki/Life_(Racing_Team)
46,onyx,Onyx,British,http://en.wikipedia.org/wiki/Onyx_(racing_team)
45,osella,Osella,Italian,http://en.wikipedia.org/wiki/Osella
44,eurobrun,Euro Brun,Italian,http://en.wikipedia.org/wiki/Euro_Brun
42,coloni,Coloni,Italian,http://en.wikipedia.org/wiki/Enzo_Coloni_Racing_Car_Systems
41,leyton,Leyton House,British,http://en.wikipedia.org/wiki/Leyton_House
40,lambo,Lambo,Italian,http://en.wikipedia.org/wiki/Modena_(racing_team)
39,ags,AGS,French,http://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives
38,moda,Andrea Moda,Italian,http://en.wikipedia.org/wiki/Andrea_Moda_Formula
37,march,March,British,http://en.wikipedia.org/wiki/March_Engineering
36,fondmetal,Fondmetal,Italian,http://en.wikipedia.org/wiki/Fondmetal
35,dallara,Dallara,Italian,http://en.wikipedia.org/wiki/Dallara
34,brabham,Brabham,British,http://en.wikipedia.org/wiki/Brabham
33,larrousse,Larrousse,French,http://en.wikipedia.org/wiki/Larrousse
32,team_lotus,Team Lotus,British,http://en.wikipedia.org/wiki/Team_Lotus
31,simtek,Simtek,British,http://en.wikipedia.org/wiki/Simtek
30,pacific,Pacific,British,http://en.wikipedia.org/wiki/Pacific_Racing
29,footwork,Footwork,British,http://en.wikipedia.org/wiki/Footwork_Arrows
28,forti,Forti,Italian,http://en.wikipedia.org/wiki/Forti
27,ligier,Ligier,French,http://en.wikipedia.org/wiki/Ligier
26,lola,Lola,British,http://en.wikipedia.org/wiki/MasterCard_Lola
25,tyrrell,Tyrrell,British,http://en.wikipedia.org/wiki/Tyrrell_Racing
24,stewart,Stewart,British,http://en.wikipedia.org/wiki/Stewart_Grand_Prix
23,brawn,Brawn,British,http://en.wikipedia.org/wiki/Brawn_GP
22,benetton,Benetton,Italian,http://en.wikipedia.org/wiki/Benetton_Formula
21,arrows,Arrows,British,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International
20,prost,Prost,French,http://en.wikipedia.org/wiki/Prost_Grand_Prix
19,jaguar,Jaguar,British,http://en.wikipedia.org/wiki/Jaguar_Racing
18,minardi,Minardi,Italian,http://en.wikipedia.org/wiki/Minardi
17,jordan,Jordan,Irish,http://en.wikipedia.org/wiki/Jordan_Grand_Prix
16,bar,BAR,British,http://en.wikipedia.org/wiki/British_American_Racing
15,sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber
14,spyker_mf1,Spyker MF1,Dutch,http://en.wikipedia.org/wiki/Midland_F1_Racing
13,mf1,MF1,Russian,http://en.wikipedia.org/wiki/Midland_F1_Racing
12,spyker,Spyker,Dutch,http://en.wikipedia.org/wiki/Spyker_F1
11,honda,Honda,Japanese,http://en.wikipedia.org/wiki/Honda_Racing_F1
10,force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India
9,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
8,super_aguri,Super Aguri,Japanese,http://en.wikipedia.org/wiki/Super_Aguri_F1
7,toyota,Toyota,Japanese,http://en.wikipedia.org/wiki/Toyota_Racing
6,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
5,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
4,renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One
3,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
2,bmw_sauber,BMW Sauber,German,http://en.wikipedia.org/wiki/BMW_Sauber
